Tag type: postag

çekmeden 1 < 31 , 1 > 
eşitlik 1 < 9 , 1 > 
kullanmadan 1 < 31 , 1 > 
sorumlu 1 < 20 , 1 > 
içindeki 1 < 21 , 8 > 
yılında 1 < 9 , 5 > 
hissettiğini 1 < 15 , 1 > 
kültürünün 1 < 9 , 1 > 
gündür 1 < 37 , 1 > 
yapılacak 2 < 37 , 2 > < 18 , 15 > 
anlatamayacağı 1 < 17 , 1 > 
kapıya 1 < 9 , 4 > 
yediremediklerinden 1 < 15 , 1 > 
öfke 1 < 9 , 1 > 
gündüz 1 < 9 , 2 > 
reina'de 1 < 19 , 1 > 
davet_etmiş 1 < 37 , 1 > 
anlatamayacağım 1 < 18 , 1 > 
yüzde_elli'yi 1 < 20 , 1 > 
haklıydı 1 < 37 , 1 > 
tezer 1 < 19 , 1 > 
terk_etmek 1 < 12 , 1 > 
değildir 1 < 37 , 18 > 
tonlamalar 1 < 12 , 1 > 
ülkesi 1 < 9 , 1 > 
bekçisi 1 < 9 , 1 > 
katkıda_bulunacak 1 < 37 , 1 > 
dirsek 1 < 9 , 1 > 
isterdim 1 < 37 , 3 > 
jandarma_genel_komutanlığı_askeri_mahkemesi'nce 1 < 19 , 1 > 
yeri_olan 1 < 11 , 1 > 
hikayeler 1 < 9 , 2 > 
elde_etmiş 1 < 37 , 1 > 
mutluluğu 1 < 9 , 1 > 
bişopu 1 < 9 , 1 > 
ölüme 1 < 9 , 2 > 
barmen 1 < 9 , 1 > 
ölünce 1 < 31 , 1 > 
gerekmiyor 1 < 37 , 2 > 
fadıl_akgündüz 1 < 19 , 1 > 
atladı 1 < 37 , 1 > 
sizi 1 < 29 , 9 > 
bugünün 1 < 9 , 2 > 
doğdu 1 < 37 , 2 > 
duyarsam 1 < 37 , 1 > 
size 1 < 29 , 13 > 
harcanacak 1 < 37 , 1 > 
haberin 1 < 9 , 7 > 
yazayım 1 < 37 , 4 > 
bacaklarının 1 < 9 , 1 > 
vurmayı 1 < 12 , 1 > 
salla_gaveau'daki 1 < 33 , 1 > 
yunanlıların 1 < 19 , 1 > 
elleriyle 1 < 9 , 3 > 
kulunuz 1 < 9 , 1 > 
olmaktan 1 < 12 , 3 > 
kürsüsünde 1 < 9 , 1 > 
yayılmış 1 < 37 , 1 > 
milli_savunma_bakanı 1 < 9 , 1 > 
manyetik 1 < 21 , 1 > 
korkması 1 < 12 , 1 > 
imam 1 < 9 , 3 > 
gazeteciler 1 < 9 , 1 > 
düşmanlığının 1 < 9 , 1 > 
ölmekten 1 < 12 , 1 > 
duyduğumu 1 < 15 , 1 > 
kusursuzluğun 1 < 9 , 1 > 
görüşmenin 1 < 9 , 1 > 
paspas 1 < 9 , 1 > 
leidsewards 1 < 9 , 1 > 
etmezdi 1 < 37 , 1 > 
çakşırına 1 < 9 , 1 > 
eli_açık 1 < 21 , 1 > 
ankara 1 < 19 , 2 > 
soframıza 1 < 9 , 1 > 
bahsettiği 1 < 14 , 1 > 
yapanların 1 < 20 , 1 > 
sevgilisiyim 1 < 37 , 1 > 
bekleyen 1 < 11 , 4 > 
tanımadıklarını 1 < 15 , 1 > 
uçurumundan 1 < 9 , 1 > 
kimsiniz 1 < 37 , 3 > 
otobiyografisizler 1 < 37 , 1 > 
kontrol 1 < 9 , 1 > 
şömineyle 1 < 9 , 1 > 
lezzetli 1 < 20 , 1 > 
biliyordu 1 < 37 , 1 > 
doğar 1 < 37 , 3 > 
doğan 1 < 11 , 2 > 
okuyacaklar 1 < 37 , 1 > 
vahdettin'in 1 < 19 , 1 > 
etiketinde 1 < 9 , 1 > 
belirlenmesi 1 < 12 , 1 > 
albümü 1 < 9 , 2 > 
bunlar 1 < 26 , 29 > 
vazgeçmişlerdi 1 < 37 , 1 > 
telefon_ediyor 1 < 37 , 1 > 
makine 1 < 9 , 11 > 
hedeflerde 1 < 9 , 1 > 
kaynağıdır 1 < 37 , 1 > 
fark_etmiyordu 1 < 37 , 1 > 
doğal 1 < 21 , 4 > 
esrara 1 < 9 , 2 > 
yetmediği 1 < 14 , 1 > 
yoğunlaşan 1 < 11 , 1 > 
keseneğine 1 < 9 , 1 > 
bilemeyecek 1 < 18 , 1 > 
batı'nın 1 < 19 , 2 > 
izlediği 1 < 14 , 3 > 
minik 1 < 21 , 1 > 
nihan 1 < 19 , 1 > 
hıçkırıklarımın 1 < 9 , 1 > 
heyette 1 < 9 , 2 > 
ayaklandı 1 < 37 , 1 > 
düzlem 1 < 9 , 1 > 
yansıtarak 1 < 31 , 1 > 
söylüyordu 1 < 37 , 1 > 
alınacağını 1 < 17 , 1 > 
anımsamak 1 < 12 , 1 > 
çünkü 1 < 32 , 35 > 
bastıracak 1 < 18 , 1 > 
yeteneği 1 < 9 , 1 > 
kabak 1 < 9 , 3 > 
davranışlı 1 < 21 , 2 > 
sergilemiyorsa 1 < 37 , 1 > 
haklılığını 1 < 9 , 1 > 
bebek 1 < 9 , 3 > 
alınan 1 < 11 , 1 > 
ülkeyi 1 < 9 , 3 > 
konuşmuştum 1 < 37 , 1 > 
bodrum 2 < 19 , 2 > < 9 , 1 > 
hikayesini 1 < 9 , 1 > 
sanmıyorum 1 < 37 , 1 > 
müzik 1 < 9 , 2 > 
gidersin 1 < 37 , 1 > 
tabağa 1 < 9 , 1 > 
önermelerin 1 < 12 , 1 > 
uyardılar 1 < 37 , 1 > 
önemsenmiyor 1 < 37 , 1 > 
ziyaret_ediliyor 1 < 37 , 1 > 
hangisinin 1 < 27 , 1 > 
kızım 1 < 9 , 1 > 
kızın 1 < 9 , 9 > 
uydurmuşuz 1 < 37 , 1 > 
yaşlı 2 < 21 , 11 > < 20 , 1 > 
düştüğüm 1 < 14 , 1 > 
salkım_salkım 1 < 9 , 1 > 
köşelerinde 1 < 9 , 1 > 
hamlede 1 < 9 , 1 > 
güzelliğine 1 < 9 , 3 > 
itfaya 1 < 9 , 1 > 
güzelliğini 1 < 9 , 2 > 
serpil_biriçim 1 < 19 , 1 > 
toplantılarda 1 < 9 , 3 > 
mideye 1 < 9 , 1 > 
önerilmesi 1 < 12 , 1 > 
külür'ün_kıran 1 < 19 , 1 > 
azadi'nin 1 < 19 , 1 > 
terk_eder 1 < 37 , 1 > 
vurulmuş 1 < 37 , 1 > 
alınca 1 < 31 , 1 > 
kabul_edilmedi 1 < 37 , 1 > 
çıkartılmak 1 < 12 , 1 > 
karışabilir 1 < 37 , 1 > 
şefkatle 1 < 9 , 2 > 
öne_sürdüğü 1 < 14 , 1 > 
mutabık_olduğu 1 < 14 , 1 > 
şefkatli 1 < 21 , 1 > 
açımızdan 1 < 9 , 1 > 
aralık_2002'de 1 < 20 , 1 > 
söylemekte 1 < 37 , 1 > 
yapıyoruz 1 < 37 , 1 > 
fırsat 1 < 9 , 1 > 
korunak 1 < 9 , 1 > 
terk_ettiğini 1 < 15 , 2 > 
uymuş 1 < 37 , 1 > 
gıyabi 1 < 21 , 1 > 
ödemenin 1 < 9 , 1 > 
baksın 1 < 37 , 1 > 
mutsuz_olduklarını 1 < 15 , 1 > 
casa_savaş_uçağıyla 1 < 9 , 1 > 
koşa_koşa 2 < 37 , 2 > < 21 , 1 > 
geçerlidir 1 < 37 , 1 > 
terk_etmemi 1 < 12 , 1 > 
aitti 1 < 37 , 1 > 
dizgelere 1 < 9 , 1 > 
medyada 1 < 9 , 1 > 
esas_alınarak 1 < 31 , 1 > 
sundu 1 < 37 , 1 > 
pencereyi 1 < 9 , 1 > 
i̇nsanlar 1 < 9 , 1 > 
pansiyonların 1 < 9 , 1 > 
enkaz 1 < 9 , 1 > 
başoyuncusu 1 < 9 , 1 > 
dışarının 2 < 20 , 1 > < 9 , 1 > 
olmaktı 1 < 37 , 2 > 
dağıtılmak 1 < 12 , 1 > 
danimarkalılar 1 < 20 , 1 > 
gelişeceğini 1 < 17 , 1 > 
eroinden 1 < 9 , 1 > 
kanadın 1 < 9 , 1 > 
burjuvazinin 1 < 9 , 2 > 
göstergesi 1 < 9 , 2 > 
topuklu 1 < 21 , 3 > 
düzenleme 1 < 12 , 6 > 
depremleriyle 1 < 9 , 1 > 
pozitif 1 < 21 , 1 > 
teypteki 1 < 21 , 1 > 
karıştı 1 < 37 , 2 > 
dövizde 1 < 9 , 1 > 
yaptı 1 < 37 , 7 > 
versin 1 < 37 , 1 > 
yüreğinden 1 < 9 , 1 > 
akyol'a 1 < 19 , 1 > 
sıkıntısını 1 < 9 , 1 > 
ısrarlı 1 < 21 , 1 > 
açılınca 1 < 31 , 3 > 
itfası 1 < 9 , 1 > 
önceki 1 < 21 , 12 > 
yakasıyla 1 < 9 , 1 > 
çevrilen 1 < 11 , 1 > 
değiştirmez 1 < 37 , 2 > 
ana'dan 1 < 19 , 1 > 
filozof 1 < 9 , 3 > 
yaklaşık 1 < 21 , 6 > 
yaklaşım 1 < 9 , 2 > 
atılımlarla 1 < 9 , 1 > 
çelik_arsel 1 < 19 , 1 > 
ölecekti 1 < 37 , 1 > 
sokaktayız 1 < 37 , 1 > 
valilere 1 < 9 , 1 > 
vazgeçmiş 1 < 37 , 1 > 
sevgilisiyle 1 < 9 , 1 > 
hatırlattı 1 < 37 , 1 > 
bıkacak 1 < 37 , 1 > 
kıskançlığımla 1 < 9 , 1 > 
yönlendirmek 1 < 12 , 1 > 
senetlerinin 1 < 9 , 1 > 
inanıyorum 1 < 37 , 2 > 
naaşını 1 < 9 , 1 > 
bölük_pörçük 1 < 34 , 1 > 
çözümde 1 < 9 , 1 > 
bitecek 2 < 37 , 1 > < 18 , 2 > 
doksandokuz. 1 < 2 , 1 > 
imalatından 1 < 9 , 1 > 
büyükelçilik_konutu'nda 1 < 19 , 1 > 
parmak 1 < 9 , 1 > 
söylediler 1 < 37 , 4 > 
büyükleriydi 1 < 37 , 1 > 
kapsanmalı 1 < 37 , 1 > 
dolduruyor 1 < 37 , 1 > 
bağlıydı 1 < 37 , 1 > 
kimlik 1 < 9 , 1 > 
çocukluktan 1 < 9 , 1 > 
sirkeyi 1 < 9 , 1 > 
kırıyor 1 < 37 , 1 > 
kente 1 < 9 , 2 > 
seyredenler 1 < 37 , 1 > 
adımı 1 < 9 , 1 > 
anneler 1 < 9 , 1 > 
inanıyoruz 1 < 37 , 1 > 
bazılarının 1 < 25 , 3 > 
yunan'da 1 < 19 , 1 > 
kabin 1 < 9 , 3 > 
toplumlar 1 < 9 , 2 > 
kalkmış 1 < 37 , 2 > 
ihale 1 < 9 , 2 > 
farkındalığı 1 < 9 , 1 > 
boyanmış 1 < 21 , 1 > 
çalışıyor 1 < 37 , 6 > 
ayrılmış 1 < 21 , 1 > 
krizleri 1 < 9 , 1 > 
adını 1 < 9 , 5 > 
saffet'ten 1 < 19 , 1 > 
krizlere 1 < 9 , 1 > 
mücadele 1 < 9 , 4 > 
kızlarının 1 < 9 , 1 > 
balıklarla 1 < 9 , 1 > 
gerçekleşiyor 1 < 37 , 1 > 
bodruma 1 < 9 , 1 > 
i̇kili 1 < 9 , 1 > 
alındı 1 < 37 , 1 > 
kullandırmaya 1 < 12 , 1 > 
milli_savunma_bakanlığı'nda 1 < 19 , 2 > 
çalan 1 < 11 , 2 > 
ele_alan 1 < 11 , 1 > 
aşkıdır 1 < 37 , 1 > 
siyasetçiler 1 < 9 , 1 > 
koyabilir 1 < 37 , 1 > 
vakıflarına 1 < 9 , 1 > 
tarif_edilecek 1 < 37 , 1 > 
inatçı 1 < 21 , 1 > 
avuç 1 < 9 , 2 > 
dünya 2 < 19 , 1 > < 9 , 6 > 
yaygınlaşmış 1 < 37 , 1 > 
gidici 1 < 21 , 1 > 
sarılmış 1 < 37 , 1 > 
trakya_şarküterisi'nden 1 < 19 , 1 > 
apayrı 1 < 21 , 1 > 
köpeğiydi 1 < 37 , 1 > 
doğup 1 < 31 , 1 > 
doğum 1 < 9 , 5 > 
boşanmayla 1 < 12 , 1 > 
sermaye 1 < 9 , 5 > 
taşıyayım 1 < 37 , 1 > 
dinlediler 1 < 37 , 1 > 
yapan 1 < 11 , 15 > 
haşmetiyle 1 < 9 , 1 > 
kurulu 2 < 21 , 2 > < 9 , 5 > 
hayranları 1 < 9 , 1 > 
yaparsınız 1 < 37 , 1 > 
ankara_atatürk_lisesi'nde 1 < 19 , 1 > 
yapar 1 < 37 , 4 > 
etkilediğini 1 < 15 , 1 > 
fallacies 1 < 9 , 1 > 
öbür 1 < 21 , 8 > 
keşfetmek 1 < 12 , 1 > 
hareketten 1 < 9 , 1 > 
korkuyordu 1 < 37 , 1 > 
alınma 1 < 12 , 1 > 
yuvarlaklık 1 < 9 , 1 > 
cebinde 1 < 9 , 1 > 
antitezler 1 < 9 , 1 > 
aç_gözlülüğünün 1 < 9 , 1 > 
dükkanların 1 < 9 , 1 > 
çıkarttı 1 < 37 , 1 > 
uydurularak 1 < 31 , 1 > 
hızları 1 < 9 , 1 > 
polise 1 < 9 , 1 > 
çoğul 1 < 21 , 1 > 
bedellerinin 1 < 9 , 1 > 
balıkçıların 1 < 9 , 4 > 
gerçekleştirmek 1 < 12 , 1 > 
notları 1 < 9 , 2 > 
komşuların 1 < 9 , 1 > 
oradakilerin 1 < 20 , 1 > 
başkanı 1 < 9 , 12 > 
olabildi 1 < 37 , 1 > 
koşar_adım 1 < 9 , 1 > 
yapıldığını 1 < 15 , 1 > 
kilise 1 < 9 , 2 > 
i̇ngiliz'in 1 < 19 , 1 > 
beyoğlu'nda 1 < 19 , 1 > 
doğru 4 < 38 , 29 > < 37 , 2 > < 31 , 1 > < 21 , 21 > 
şaşkınlığa 1 < 9 , 1 > 
biliyoruz 1 < 37 , 2 > 
paralel 1 < 21 , 8 > 
değişikliğe 1 < 9 , 1 > 
biliyorum 1 < 37 , 13 > 
oranlarındaki 1 < 21 , 2 > 
değişikliği 1 < 9 , 3 > 
burnunu 1 < 9 , 2 > 
kucaklayan 1 < 11 , 1 > 
çekildiğinde 1 < 15 , 1 > 
iğreniyordum 1 < 37 , 1 > 
arkadaki 1 < 21 , 2 > 
değiyor 1 < 37 , 1 > 
yerimiz 1 < 9 , 1 > 
taralıydı 1 < 37 , 1 > 
uymam 1 < 37 , 1 > 
aramda 1 < 9 , 1 > 
başarının 1 < 9 , 1 > 
anlamak 1 < 12 , 3 > 
anlamam 1 < 37 , 2 > 
burda 1 < 9 , 3 > 
başvurmaya 1 < 12 , 1 > 
çaktı 1 < 37 , 1 > 
pür_telaş 1 < 9 , 1 > 
sürdürdü 1 < 37 , 2 > 
buçuğunun 1 < 20 , 1 > 
erimiş 1 < 21 , 2 > 
kadınlığı 1 < 9 , 1 > 
iklimi 1 < 9 , 1 > 
sobanın 1 < 9 , 2 > 
düzenlemeyle 1 < 12 , 1 > 
sapmadım 1 < 37 , 1 > 
lodos 1 < 9 , 1 > 
çıkarıldı 1 < 37 , 1 > 
kırmızıya 1 < 20 , 1 > 
istemediğiniz 1 < 14 , 1 > 
yirmiiki_ocak_ikibinüç 1 < 20 , 2 > 
aşık_olması 1 < 12 , 1 > 
duyunca 1 < 31 , 1 > 
aşık 1 < 9 , 1 > 
onarmalarım 1 < 12 , 1 > 
mallar 1 < 9 , 1 > 
cebimdeki 1 < 21 , 1 > 
alanlarında 1 < 9 , 3 > 
ayrılırdı 1 < 37 , 1 > 
dönmek 1 < 12 , 4 > 
başkası 1 < 20 , 2 > 
soldaki 1 < 21 , 1 > 
bağdaşmadığını 1 < 15 , 1 > 
teşvik_edilmesidir 1 < 37 , 1 > 
mimarlar_odası_i̇zmir_şubesi_bülteni'nin 1 < 19 , 1 > 
mağazadan 1 < 9 , 1 > 
118'lere 1 < 20 , 1 > 
sokaklara 1 < 9 , 1 > 
hareket_eden 1 < 11 , 1 > 
eşitsizliği 1 < 9 , 1 > 
yıkayın 1 < 37 , 1 > 
yıkayıp 1 < 31 , 3 > 
otuz_altı 1 < 1 , 1 > 
versem 1 < 37 , 1 > 
i̇kisi 1 < 20 , 2 > 
katkısı 1 < 9 , 1 > 
aramak 1 < 12 , 1 > 
uzunluklarda 1 < 9 , 1 > 
akp'nin 1 < 19 , 1 > 
değişikliklerini 1 < 9 , 1 > 
adeta 1 < 31 , 5 > 
başarılarla 1 < 9 , 1 > 
yaşar 1 < 19 , 1 > 
aydınlatır 1 < 37 , 1 > 
görüştüğümden 1 < 15 , 1 > 
kabul_edilmesi 1 < 12 , 1 > 
ücretlerin 1 < 9 , 2 > 
rahatsız 2 < 21 , 2 > < 9 , 1 > 
çırılçıplak 1 < 21 , 1 > 
eleni 1 < 9 , 1 > 
yaşam 1 < 9 , 11 > 
düşürdüm 1 < 37 , 1 > 
söylediği 1 < 14 , 1 > 
mastıralar 1 < 9 , 1 > 
yerimde 1 < 9 , 3 > 
geçiyoruz 1 < 37 , 1 > 
yapma 2 < 21 , 1 > < 12 , 2 > 
doğrultusunda 1 < 9 , 2 > 
hakaret 1 < 9 , 1 > 
dünkü 1 < 21 , 2 > 
açmaya 1 < 12 , 1 > 
küfü 1 < 9 , 1 > 
leblebiyle 1 < 9 , 1 > 
düşündüler 1 < 37 , 5 > 
hararetin 1 < 9 , 1 > 
eskilerin 1 < 20 , 1 > 
yaşadıkları 1 < 14 , 1 > 
sığınmıştım 1 < 37 , 1 > 
iddia_edildi 1 < 37 , 1 > 
kaldığına 1 < 15 , 1 > 
üçyüzatmışdört 1 < 1 , 1 > 
sefaletiyle 1 < 9 , 1 > 
uzaklara 1 < 20 , 2 > 
kaza_- 1 < 39 , 1 > 
bakıyor 1 < 37 , 5 > 
geride 2 < 20 , 1 > < 9 , 2 > 
ulaşacak 1 < 37 , 1 > 
başlıca 1 < 21 , 2 > 
hanın 1 < 9 , 2 > 
hanım 1 < 9 , 2 > 
hararetli 1 < 21 , 1 > 
kalsın 1 < 37 , 3 > 
latince 1 < 19 , 1 > 
olamayacak 1 < 37 , 2 > 
görsün 1 < 37 , 2 > 
uyabildiklerini 1 < 15 , 1 > 
gitmiştik 1 < 37 , 1 > 
leblebici'nin 1 < 19 , 1 > 
çağrılıyor 1 < 37 , 1 > 
gitmiştir 1 < 37 , 1 > 
iskeleyi 1 < 9 , 1 > 
ürpermekten 1 < 12 , 1 > 
hazmedemiyordu 1 < 37 , 1 > 
behzat 1 < 19 , 1 > 
i̇nsan 1 < 9 , 3 > 
imza 1 < 9 , 1 > 
kurmay_pilot_albay_erol_polat'tı 1 < 37 , 1 > 
sayesinde 1 < 9 , 3 > 
dikkate_alarak 1 < 31 , 1 > 
başınaydı 1 < 37 , 1 > 
sormamıştı 1 < 37 , 1 > 
kurtulamayacak 1 < 37 , 1 > 
bilmem 1 < 37 , 4 > 
bilmez 1 < 21 , 2 > 
turşusu 1 < 9 , 1 > 
direnişin 1 < 12 , 1 > 
büyüklüklerine 1 < 9 , 1 > 
ölümü 1 < 9 , 3 > 
yerine_getiriyordum 1 < 37 , 1 > 
yeniden 1 < 31 , 35 > 
diğerlerinden 1 < 20 , 1 > 
içten 2 < 21 , 1 > < 9 , 1 > 
ulaştırırız 1 < 37 , 1 > 
arınması 1 < 12 , 2 > 
yalnızlığımda 1 < 9 , 1 > 
yanılttığını 1 < 15 , 1 > 
doldurulmamış_olan 1 < 11 , 1 > 
küpe 1 < 9 , 1 > 
hatun 1 < 9 , 1 > 
olabilir 1 < 37 , 12 > 
tesadüfen 1 < 31 , 2 > 
düşüncelerin 1 < 9 , 1 > 
bilmek 1 < 12 , 2 > 
muzaffer_olacaktı 1 < 37 , 1 > 
barışsalar 1 < 37 , 1 > 
eğlenebileceği 1 < 18 , 1 > 
yaptıkları 1 < 15 , 1 > 
haklarının 1 < 9 , 1 > 
gördükleri 1 < 15 , 1 > 
çıkarılan 1 < 11 , 3 > 
verdikleri 1 < 14 , 3 > 
ağıza 1 < 9 , 1 > 
aramızda 1 < 9 , 3 > 
soluk_soluğaydı 1 < 37 , 1 > 
suların 1 < 9 , 1 > 
kaçtığını 1 < 15 , 1 > 
lokantalara 1 < 9 , 1 > 
vekilim 1 < 9 , 1 > 
hatta 1 < 32 , 18 > 
zevki 1 < 9 , 1 > 
kalkındım 1 < 37 , 1 > 
kaybolmuştu 1 < 37 , 1 > 
nitelikleri 1 < 9 , 1 > 
savunduğumuz 1 < 14 , 1 > 
sürünür 1 < 37 , 1 > 
dönemlerde 1 < 9 , 2 > 
yayabilsek 1 < 37 , 1 > 
alıyordu 1 < 37 , 1 > 
kürt 1 < 9 , 1 > 
vereceği 1 < 18 , 1 > 
kendi 1 < 28 , 35 > 
öne_açılan 1 < 11 , 1 > 
şakir 1 < 19 , 4 > 
tutuklama 1 < 12 , 1 > 
gösterilen 1 < 11 , 1 > 
para 1 < 9 , 18 > 
peteğini 1 < 9 , 1 > 
başbakan_yardımcısı_ertuğrul 1 < 19 , 1 > 
unsurlarının 1 < 9 , 1 > 
gazeteler 1 < 9 , 1 > 
barış'tan 1 < 19 , 1 > 
park 1 < 9 , 3 > 
kürk 1 < 9 , 1 > 
sınırlandırıldı 1 < 37 , 1 > 
derslerinde 1 < 9 , 1 > 
zamanlardaki 1 < 21 , 1 > 
gezmeye 1 < 12 , 1 > 
çalar 1 < 21 , 1 > 
oturmuştuk 1 < 37 , 1 > 
ayakkabılar 1 < 9 , 1 > 
konutun 1 < 9 , 3 > 
metafiziktir 1 < 37 , 1 > 
köşesindeki 1 < 21 , 1 > 
notlar 1 < 9 , 1 > 
boynuzlarla 1 < 9 , 1 > 
temelinde 1 < 9 , 5 > 
güzelidir 1 < 37 , 1 > 
olurmuş 1 < 37 , 1 > 
gördüğünü 1 < 15 , 1 > 
tarihlere 1 < 9 , 1 > 
kimyasal 1 < 21 , 1 > 
ayırıyor 1 < 37 , 2 > 
hissedip 1 < 31 , 1 > 
iptal_etmesinin 1 < 12 , 1 > 
acılarla 1 < 9 , 1 > 
kösteklenmediği 1 < 14 , 1 > 
pişmanlıklarla 1 < 9 , 1 > 
bağlanmamış 1 < 21 , 1 > 
buluyordum 1 < 37 , 1 > 
ortak_olmam 1 < 37 , 1 > 
etkilerini 1 < 9 , 1 > 
düşünmüyor 1 < 37 , 1 > 
ardı_sıra 1 < 9 , 1 > 
temerrüt 1 < 9 , 3 > 
yılda 1 < 9 , 2 > 
öğrencilere 1 < 9 , 1 > 
tanrının 1 < 9 , 1 > 
okuduğu 1 < 14 , 1 > 
yükseklikteki 1 < 21 , 1 > 
harcamaları 1 < 12 , 2 > 
hayatımızla 1 < 9 , 1 > 
değerlendirilmesi 1 < 12 , 1 > 
geçilsin 1 < 37 , 1 > 
sevginin 1 < 9 , 2 > 
tanrınız 1 < 9 , 1 > 
sıyrılan 1 < 11 , 1 > 
başkalarının 1 < 20 , 5 > 
saçım_başım 1 < 9 , 1 > 
bölgesinde 1 < 9 , 1 > 
portekiz'de 1 < 19 , 1 > 
abicim 1 < 9 , 2 > 
eşyanın 1 < 9 , 2 > 
çerçevesinde 1 < 9 , 6 > 
satacaktır 1 < 37 , 1 > 
bireyler 1 < 9 , 2 > 
oranlı 1 < 21 , 2 > 
ayrılıkların 1 < 9 , 1 > 
taşımaktan 1 < 12 , 1 > 
okurdu 1 < 37 , 2 > 
hablemitoğlu'nun 1 < 19 , 5 > 
heyecandan 1 < 9 , 1 > 
ayağına 1 < 9 , 1 > 
indi 1 < 37 , 1 > 
varlığını 1 < 9 , 2 > 
korkuyorum 1 < 37 , 1 > 
fırınında 1 < 9 , 1 > 
tezgahı 1 < 9 , 1 > 
üzer 1 < 37 , 1 > 
saklı_kalmak 1 < 12 , 1 > 
sormadık 1 < 37 , 1 > 
dükkanlar 1 < 9 , 1 > 
gösterilse 1 < 37 , 1 > 
bulduğu 1 < 14 , 2 > 
erkekler_parkı 1 < 9 , 5 > 
tanker 1 < 9 , 1 > 
yön 1 < 9 , 2 > 
mimar 1 < 9 , 3 > 
dökmeye 1 < 12 , 1 > 
yabancılığımız 1 < 9 , 1 > 
ince 1 < 21 , 6 > 
helasını 1 < 9 , 1 > 
dostu 1 < 9 , 3 > 
sarkabilir 1 < 37 , 1 > 
derinleştiriyor 1 < 37 , 1 > 
gelirlerindeki 1 < 21 , 1 > 
hisseder 1 < 37 , 1 > 
milyonlarca 1 < 20 , 2 > 
seçildiği 1 < 14 , 1 > 
baba_kemal_ulusu 1 < 19 , 1 > 
gazeteye 1 < 9 , 1 > 
konjonktürden 1 < 9 , 1 > 
gazeteyi 1 < 9 , 1 > 
yudum_yudum 1 < 9 , 1 > 
20'li_30'lu 1 < 20 , 1 > 
utandığım 2 < 15 , 1 > < 14 , 1 > 
konuşabiliyor 1 < 37 , 1 > 
evlenmişler 1 < 37 , 1 > 
yoksunluk 1 < 9 , 1 > 
mühendislik 1 < 9 , 1 > 
isteklilerin 1 < 20 , 1 > 
barınak 1 < 9 , 4 > 
yönelsem 1 < 37 , 1 > 
bağımsızlıklarının 1 < 9 , 1 > 
dönmüştü 1 < 37 , 4 > 
uyguluyorum 1 < 37 , 1 > 
iktidarı 1 < 9 , 2 > 
yapabilecek 1 < 37 , 1 > 
buradaydı 1 < 37 , 1 > 
önlerinde 1 < 9 , 2 > 
virgülden 1 < 9 , 1 > 
katılıyor 1 < 37 , 1 > 
doğru_dürüst 1 < 21 , 1 > 
kokain 1 < 9 , 1 > 
yüz_yüze_geldiler 1 < 37 , 1 > 
devri 1 < 9 , 1 > 
maastricht_anlaşması 1 < 9 , 1 > 
60'lı 1 < 21 , 1 > 
inen 1 < 11 , 1 > 
sıkça 1 < 31 , 1 > 
yılki 1 < 21 , 1 > 
çıkmıyor 1 < 37 , 1 > 
işemek 1 < 12 , 1 > 
derken 1 < 31 , 6 > 
attıklarında 1 < 15 , 1 > 
olasılıkla 1 < 9 , 2 > 
kullanmadım 1 < 37 , 1 > 
hükümet 1 < 9 , 8 > 
örtüştüler 1 < 37 , 1 > 
güzel_olan 1 < 11 , 1 > 
gönderilmesi 1 < 12 , 1 > 
kullanmadık 1 < 37 , 1 > 
çıkınca 1 < 31 , 2 > 
döneminin 1 < 9 , 2 > 
küçük 2 < 31 , 1 > < 21 , 26 > 
şimdiki 1 < 21 , 1 > 
üzdü 1 < 37 , 1 > 
cızlar 1 < 9 , 1 > 
kısıtlı 1 < 21 , 1 > 
anlatmalıydım 1 < 37 , 1 > 
kurtlara 1 < 9 , 1 > 
i̇llet 1 < 9 , 1 > 
görüşelim 1 < 37 , 1 > 
seçimi 1 < 9 , 2 > 
taşınmasını 1 < 12 , 1 > 
çevre 1 < 9 , 1 > 
olarak 1 < 31 , 77 > 
ürkerek 1 < 31 , 1 > 
zorla 2 < 37 , 1 > < 20 , 1 > 
teybe 1 < 9 , 1 > 
kalabalıklaşan 1 < 11 , 1 > 
bonnor 1 < 9 , 2 > 
seçime 1 < 9 , 1 > 
büyüme 1 < 12 , 4 > 
neredesin 1 < 37 , 1 > 
gecekondu 1 < 9 , 4 > 
tehlikelidir 1 < 37 , 1 > 
barbunya 1 < 9 , 1 > 
sabrını 1 < 9 , 1 > 
yürek 1 < 9 , 1 > 
tibet'i 1 < 19 , 3 > 
sorulmasını 1 < 12 , 1 > 
1950'de 1 < 20 , 1 > 
algısal 1 < 21 , 1 > 
ev_üstüne_felsefece_bir_deneme 1 < 9 , 1 > 
hablemitoğlu 1 < 19 , 1 > 
ekibinin 1 < 9 , 1 > 
seğirtmelerim 1 < 12 , 1 > 
sezginler'i 1 < 19 , 1 > 
tavşanlı 1 < 19 , 1 > 
yük 1 < 9 , 1 > 
ikiye 1 < 20 , 2 > 
yönelik 1 < 38 , 7 > 
ağaçtaydı 1 < 37 , 1 > 
varlığına 1 < 9 , 1 > 
babanızın 1 < 9 , 1 > 
açılmış 2 < 37 , 2 > < 21 , 1 > 
şeyim 1 < 9 , 3 > 
yüz 1 < 1 , 2 > 
çözülen 1 < 11 , 1 > 
karşı_çıktığı 1 < 14 , 1 > 
